cve_ent,state,population,total_cases,cases_rates,total_cases_last_60_days,cases_rate_last_60_days,total_deaths,deaths_rates,total_deaths_last_60_days,deaths_rate_last_60_days,pct_obesity_up20years,pct_hypertension_up20years,pct_diabetes_up20years
01000,AGUASCALIENTES,1434635,26695,1860.752037974816,828,57.71502856127169,2456,171.19336974212953,88,6.133964388154478,32.5933866314846,14.7005662350609,7.55647792941045
02000,BAJA CALIFORNIA,3634868,50286,1383.4340064068351,2403,66.1096909158737,8648,237.9178556140141,177,4.869502826512544,48.3669952599269,21.0077116050251,9.9748483286637
03000,BAJA CALIFORNIA SUR,804708,36317,4513.065608891673,6423,798.1777240937085,1486,184.6632567341197,118,14.663704101363477,42.8491180329462,16.5369113279593,8.3697496817989
04000,CAMPECHE,1000617,11099,1109.215613966183,1666,166.4972711836797,1266,126.52193596550929,58,5.796423606634706,44.9038106280785,26.1081540457128,14.0079169834951
05000,COAHUILA,3218720,69397,2156.043396132624,1391,43.2159367698961,6376,198.09116667495155,70,2.17477755132475,37.606715494255,22.3975506822411,12.3438058099958
06000,COLIMA,785153,12208,1554.856187265412,1043,132.84035086155183,1210,154.1100906447533,34,4.330366183406292,43.1901103234958,17.2229312056167,10.8273261361938
07000,CHIAPAS,5730367,12063,210.51007727777295,1129,19.702053987118106,1655,28.881221743738227,43,0.7503882386590597,28.9546146639838,16.2328036769217,7.79036305495578
08000,CHIHUAHUA,3801487,57486,1512.197726836893,4742,124.74066069409156,7493,197.10707941392403,420,11.04830820150115,38.6672017017746,22.6022007897054,9.25005776298834
09000,DISTRITO FEDERAL,9018645,673666,7469.703042973751,33694,373.60379524862105,34461,382.1083987672205,675,7.484494621974809,36.3397995184931,20.2074742248511,12.6655360912705
10000,DURANGO,1868996,34588,1850.6192629625743,1238,66.23877204659614,2495,133.49413267872163,72,3.852335692532247,37.5827020323626,20.2497377617164,10.9002506069187
11000,GUANAJUATO,6228175,132654,2129.9016164446243,2373,38.101048862628296,11079,177.88517503120897,125,2.0070084735897757,30.0125562426704,18.3592006134668,9.88558374398441
12000,GUERRERO,3657048,41610,1137.8029492639964,2298,62.83756734940313,4547,124.3352561957076,181,4.9493471236910205,34.7073715977162,17.9058501288685,11.131146810083
13000,HIDALGO,3086414,39378,1275.8495781836136,1260,40.82407609607784,6268,203.0835785477904,154,4.989609300631736,31.1690442945712,17.9475777538187,12.833803630661
14000,JALISCO,8409693,88151,1048.207110533048,2992,35.577993156230555,12605,149.88656541921327,276,3.281927176176348,34.82914294284,13.9997969393287,7.59227740035884
15000,MEXICO,17427790,256711,1472.9980106485102,8829,50.66046813738288,37211,213.51531089139812,762,4.372327185489382,32.7294525121671,15.5282041006967,8.95853031898105
16000,MICHOACAN,4825401,49066,1016.8274097841816,1630,33.77957603937994,5941,123.11930138034124,262,5.429600565838984,31.6441699704732,19.1514373796333,9.92968865493776
17000,MORELOS,2044058,34218,1674.0229484681945,2079,101.70944268704704,3550,173.67413253439972,172,8.414634027018803,33.4678312401498,17.4533316703194,11.9898110697337
18000,NAYARIT,1288571,12535,972.7830286418056,849,65.88693987370506,1868,144.9667887916149,70,5.432374312319616,36.99086827749,18.1166216334002,9.55181731020657
19000,NUEVO LEON,5610153,126087,2247.4788120751787,4806,85.66611284932871,9692,172.7582117635651,208,3.707563768759961,41.4210063210658,19.2202922620374,12.6255651726493
20000,OAXACA,4143593,47969,1157.666788219789,1970,47.54327946784349,3897,94.04881222649038,124,2.9925719055901485,30.4975071120566,17.0901829452366,10.5104090332916
21000,PUEBLA,6604451,85952,1301.4253569297432,2997,45.378487931850806,12173,184.3150929577644,546,8.2671519555524,32.870185410681,15.3911395487264,8.98987704675404
22000,QUERETARO,2279637,69570,3051.8016684235254,2308,101.24418931610604,4452,195.2942507951924,146,6.404528440273605,30.6095409604416,17.9619172685489,7.50978687157282
23000,QUINTANA ROO,1723259,30733,1783.4231534551684,8056,467.4863151737493,2943,170.7810607691589,341,19.788087571282087,48.9383086219129,13.3328649748518,7.40578839043404
24000,SAN LUIS POTOSI,2866142,65045,2269.426985822754,2396,83.59669548822076,5428,189.383498793849,105,3.663461196270109,32.6232674152729,19.1854046543443,10.8467599599685
25000,SINALOA,3156674,41039,1300.0708974065742,3296,104.413696187823,6362,201.5412424596268,201,6.367461448347216,39.949729594287,16.1921012476527,10.6875213474115
26000,SONORA,3074745,77872,2532.632787434405,4873,158.4846873480565,6739,219.17264683738,150,4.878453335154623,43.8528856905069,24.6028774308894,11.2283897518933
27000,TABASCO,2572287,73707,2865.426758367165,10432,405.5535016116008,4234,164.6006063864569,179,6.958788035705192,47.2567321647202,21.9659878621168,12.1494605771853
28000,TAMAULIPAS,3650602,63234,1732.1526696144908,7121,195.06371825797495,5169,141.59308519526368,271,7.423433176226824,40.8672409226396,18.440579538384,12.7738634904645
29000,TLAXCALA,1380011,20111,1457.3072243627043,609,44.13008302107737,2525,182.9695560397707,43,3.115917191964412,32.3173655414681,13.03469797764,9.29405566266595
30000,VERACRUZ,8539862,63701,745.9254025416336,4021,47.08506999293432,10063,117.83562778883312,265,3.103094640171,38.9789731732026,23.6380057073242,11.9198549097504
31000,YUCATAN,2259098,44434,1966.8912105628,7614,337.03717147286216,4101,181.53262939456368,344,15.22731638910751,45.1666441833832,21.6814468356291,10.678974197956
32000,ZACATECAS,1666426,30964,1858.108310840085,1210,72.61048495402736,2832,169.94453999157477,69,4.140597902337097,33.4586719086714,18.8842019994468,10.882759710752
